GeneID,MeSH,p-Value,Enrich,PMIDs
34,Acyl-CoA Dehydrogenase,1.3135565e-317,21150.88985950758,"1363805,1671131,1679031,1684086,1731887,1970566,2251268,2393404,2394825,3035565,3462713,3597357,3786030,6857268,7603790,7608198,7929823,8198141,8823176,9158144,9484241,9487154,9882619,10767181,11349232,11409868,11517203,12522104,12562916,12914524,14692513,14970748,15159392,15171999,15832312,15896661,15902558,16128823,16291504,16617240,16972171,17186412,17539907,18188679,18241067,18927092,19064330,19224950,19551636,19649258,20434380,20567907,21083904,21237683,21239873,21968293,22630369,22683754,23028790,23141465,23810226,23829193,24718418,24966162,26223887,26947917,27148938,27308838,27477829,27856190,27976856,31033143,33580884,33975883,34039636,34704412"
34,"Lipid Metabolism, Inborn Errors",1.007982492337369e-111,3770.2604698596633,"1363805,1684086,3786030,6857268,7929823,9882619,10767181,15902558,16617240,17539907,18188679,18927092,19064330,19224950,19649258,20434380,20567907,21083904,21239873,22630369,23028790,23810226,23829193,24966162,26223887,26947917,27148938,27308838,27477829,27856190,27976856,31033143,33580884,34704412"
34,Acyl-CoA Dehydrogenases,2.0694294501004544e-111,14002.66490756681,"1363805,1679031,1684086,1729890,1731887,1902818,1970566,2251268,2393404,2394825,3035565,3462713,6857268,7603790,7608198,7929823,8198141,9158144,9484241,9882619,10767181,11263545,11349232,11409868,11486912,11517203,12562916,25416781,27871288"
34,Neonatal Screening,8.449835564731843e-67,736.0051011649294,"11486912,11517203,15832312,15896661,15902558,18188679,18241067,18927092,19224950,20434380,20567907,21083904,21239873,22630369,22683754,23028790,23829193,24966162,26223887,26947917,27148938,27308838,27477829,27856190,31033143,33580884"
34,Mutation,1.1752452424463259e-48,28.29065291543296,"1671131,1679031,1684086,1729890,1902818,1970566,2251268,2393404,2394825,7603790,8823176,9158144,9882619,10767181,11409868,11486912,11517203,12522104,15159392,15171999,15832312,15896661,15902558,16917729,19064330,19551636,19649258,20434380,20567907,21239873,23028790,23810226,23829193,24966162,26947917,27308838,27477829,27856190,30669930,31033143,33580884"
34,"Infant, Newborn",4.652224136674961e-43,20.50835796035969,"1671131,7603790,7929823,9158144,11263545,11349232,11486912,11517203,14970748,15171999,15832312,15896661,15902558,16291504,16617240,16917729,17539907,18188679,18241067,18927092,19224950,19551636,19649258,20434380,20567907,21083904,21239873,22630369,22683754,23028790,23829193,24966162,26223887,26947917,27148938,27308838,27477829,27856190,31033143,33580884,34704412"
34,Carnitine,2.7902155812134047e-39,553.3337266760086,"7603790,11349232,11409868,11486912,11517203,14970748,15171999,15902558,16291504,16972171,20434380,20567907,21239873,22683754,23028790,31033143"
34,DNA Mutational Analysis,1.9648250523354582e-32,99.74770162818176,"1363805,1902818,7929823,8198141,10767181,11349232,11409868,11486912,15902558,16291504,16917729,17186412,17539907,18188679,20434380,20567907,21239873,24966162,26223887"
34,Heterozygote,8.437624367880513e-26,100.28795192157312,"1679031,1729890,7603790,9158144,11263545,11349232,11409868,11486912,14970748,15902558,21239873,23829193,27148938,27856190,33580884"
34,Homozygote,6.497132602184295e-20,116.65988912039852,"1671131,1679031,1729890,11263545,11349232,11409868,15171999,16291504,18927092,23829193,27477829"
34,Base Sequence,3.1490626631269263e-19,15.573966626061814,"1363805,1684086,1729890,1731887,1902818,1970566,2393404,2394825,3035565,7603790,7608198,7929823,8198141,10767181,12914524,15171999,15832312,16128823,18241067,21239873,22683754"
34,Acyl Coenzyme A,1.127719657425257e-17,527.6590417582418,"8823176,9484241,12562916,18188679,21968293,23028790,24966162"
